trial,msg_len,flip_pos,beta,alpha,p_percent
163,128,33,84,27,46.666666666666664
164,128,94,97,20,53.888888888888886
165,128,16,93,32,51.66666666666667
166,128,56,92,28,51.11111111111111
167,128,98,89,37,49.44444444444444
168,128,16,76,31,42.22222222222222
169,128,39,82,31,45.55555555555556
170,128,76,93,31,51.66666666666667
171,128,0,73,38,40.55555555555556
172,128,73,84,27,46.666666666666664
173,128,63,76,42,42.22222222222222
174,128,46,84,34,46.666666666666664
175,128,74,86,30,47.77777777777778
176,128,115,77,25,42.77777777777778
177,128,91,85,18,47.22222222222222
178,128,23,96,28,53.333333333333336
179,128,75,79,33,43.888888888888886
180,128,9,91,30,50.55555555555556
181,128,78,90,36,50.0
182,128,97,94,30,52.22222222222223
183,128,15,87,22,48.333333333333336
184,128,126,77,30,42.77777777777778
185,128,109,76,41,42.22222222222222
186,128,50,92,24,51.11111111111111
187,128,75,83,26,46.111111111111114
188,128,41,96,35,53.333333333333336
189,128,123,87,31,48.333333333333336
190,128,111,80,27,44.44444444444444
191,128,118,86,28,47.77777777777778
192,128,65,88,25,48.888888888888886
193,128,96,77,29,42.77777777777778
194,128,70,89,27,49.44444444444444
195,128,59,85,24,47.22222222222222
196,128,3,89,28,49.44444444444444
197,128,123,87,34,48.333333333333336
198,128,31,86,25,47.77777777777778
199,128,35,91,34,50.55555555555556
200,128,71,102,23,56.666666666666664
201,128,119,73,38,40.55555555555556
202,128,10,88,22,48.888888888888886
203,128,96,95,37,52.77777777777778
204,128,27,94,23,52.22222222222223
205,128,31,75,31,41.66666666666667
206,128,58,88,32,48.888888888888886
207,128,45,79,23,43.888888888888886
208,128,45,92,36,51.11111111111111
209,128,109,91,26,50.55555555555556
210,128,32,86,32,47.77777777777778
211,128,98,92,29,51.11111111111111
212,128,104,77,49,42.77777777777778
213,128,48,86,32,47.77777777777778
214,128,113,83,45,46.111111111111114
215,128,78,67,25,37.22222222222222
216,128,18,91,28,50.55555555555556
217,128,16,85,30,47.22222222222222
218,128,65,89,28,49.44444444444444
219,128,95,91,38,50.55555555555556
220,128,104,89,33,49.44444444444444
221,128,93,88,24,48.888888888888886
222,128,104,100,27,55.55555555555556
223,128,108,83,27,46.111111111111114
224,128,50,89,29,49.44444444444444
225,128,3,79,39,43.888888888888886
226,128,61,86,23,47.77777777777778
