trial,msg_len,flip_pos,beta,alpha,p_percent
125,128,87,69,59,38.333333333333336
126,128,68,69,65,38.333333333333336
127,128,125,64,67,35.55555555555556
128,128,19,75,61,41.66666666666667
129,128,11,66,61,36.666666666666664
130,128,33,70,58,38.88888888888889
131,128,84,65,71,36.11111111111111
132,128,121,81,63,45.0
133,128,92,69,64,38.333333333333336
134,128,55,66,67,36.666666666666664
135,128,48,71,63,39.44444444444444
136,128,64,73,61,40.55555555555556
137,128,34,64,70,35.55555555555556
138,128,18,68,69,37.77777777777778
139,128,105,62,56,34.44444444444444
140,128,126,72,63,40.0
141,128,94,61,66,33.88888888888889
142,128,90,64,57,35.55555555555556
143,128,112,69,68,38.333333333333336
144,128,10,67,61,37.22222222222222
145,128,29,70,66,38.88888888888889
146,128,32,70,61,38.88888888888889
147,128,6,68,67,37.77777777777778
148,128,17,70,69,38.88888888888889
149,128,59,74,56,41.11111111111111
150,128,41,61,60,33.88888888888889
151,128,31,58,77,32.22222222222222
152,128,50,69,70,38.333333333333336
153,128,64,69,74,38.333333333333336
154,128,97,75,64,41.66666666666667
155,128,38,64,63,35.55555555555556
156,128,62,64,57,35.55555555555556
157,128,31,67,66,37.22222222222222
158,128,104,67,62,37.22222222222222
159,128,49,53,60,29.444444444444446
160,128,39,70,61,38.88888888888889
161,128,24,59,64,32.77777777777778
162,128,1,75,62,41.66666666666667
163,128,33,73,61,40.55555555555556
164,128,94,74,54,41.11111111111111
165,128,16,72,66,40.0
166,128,56,76,61,42.22222222222222
167,128,98,63,68,35.0
168,128,16,69,65,38.333333333333336
169,128,39,67,64,37.22222222222222
170,128,76,67,65,37.22222222222222
171,128,0,80,66,44.44444444444444
172,128,73,70,58,38.88888888888889
173,128,63,69,69,38.333333333333336
174,128,46,86,65,47.77777777777778
175,128,74,69,61,38.333333333333336
176,128,115,77,62,42.77777777777778
177,128,91,75,55,41.66666666666667
178,128,23,70,60,38.88888888888889
179,128,75,61,65,33.88888888888889
180,128,9,73,61,40.55555555555556
181,128,78,72,63,40.0
182,128,97,65,62,36.11111111111111
183,128,15,69,56,38.333333333333336
184,128,126,70,61,38.88888888888889
185,128,109,70,69,38.88888888888889
186,128,50,67,59,37.22222222222222
187,128,75,73,62,40.55555555555556
188,128,41,70,67,38.88888888888889
189,128,123,77,66,42.77777777777778
190,128,111,66,63,36.666666666666664
191,128,118,81,61,45.0
192,128,65,70,60,38.88888888888889
193,128,96,62,63,34.44444444444444
194,128,70,75,60,41.66666666666667
195,128,59,71,59,39.44444444444444
196,128,3,74,62,41.11111111111111
197,128,123,67,65,37.22222222222222
198,128,31,74,60,41.11111111111111
199,128,35,76,66,42.22222222222222
200,128,71,65,58,36.11111111111111
201,128,119,74,72,41.11111111111111
202,128,10,63,57,35.0
203,128,96,80,69,44.44444444444444
204,128,27,62,58,34.44444444444444
205,128,31,73,64,40.55555555555556
206,128,58,71,64,39.44444444444444
207,128,45,76,58,42.22222222222222
208,128,45,73,70,40.55555555555556
209,128,109,77,58,42.77777777777778
210,128,32,68,63,37.77777777777778
211,128,98,63,61,35.0
212,128,104,70,70,38.88888888888889
213,128,48,64,60,35.55555555555556
214,128,113,65,69,36.11111111111111
215,128,78,71,62,39.44444444444444
216,128,18,83,59,46.111111111111114
217,128,16,67,61,37.22222222222222
218,128,65,71,60,39.44444444444444
219,128,95,76,66,42.22222222222222
220,128,104,67,64,37.22222222222222
221,128,93,66,58,36.666666666666664
222,128,104,77,63,42.77777777777778
223,128,108,68,61,37.77777777777778
224,128,50,66,63,36.666666666666664
225,128,3,71,68,39.44444444444444
226,128,61,74,61,41.11111111111111
227,128,0,73,66,40.55555555555556
228,128,67,80,70,44.44444444444444
229,128,64,62,61,34.44444444444444
230,128,97,78,57,43.333333333333336
231,128,30,77,63,42.77777777777778
232,128,48,67,65,37.22222222222222
233,128,81,67,60,37.22222222222222
234,128,76,77,61,42.77777777777778
235,128,118,71,60,39.44444444444444
236,128,69,62,70,34.44444444444444
237,128,36,69,59,38.333333333333336
238,128,82,73,56,40.55555555555556
239,128,4,72,65,40.0
240,128,48,76,61,42.22222222222222
241,128,75,63,60,35.0
242,128,35,69,59,38.333333333333336
243,128,113,76,55,42.22222222222222
244,128,120,69,59,38.333333333333336
245,128,54,73,55,40.55555555555556
246,128,50,66,63,36.666666666666664
247,128,87,72,66,40.0
248,128,108,75,68,41.66666666666667
249,128,38,76,59,42.22222222222222
250,128,29,69,65,38.333333333333336
251,128,58,76,57,42.22222222222222
252,128,13,77,60,42.77777777777778
253,128,77,76,61,42.22222222222222
254,128,27,68,69,37.77777777777778
255,128,126,66,62,36.666666666666664
256,128,18,68,63,37.77777777777778
257,128,15,66,70,36.666666666666664
258,128,33,74,55,41.11111111111111
259,128,19,78,59,43.333333333333336
260,128,20,77,57,42.77777777777778
261,128,31,67,65,37.22222222222222
262,128,59,71,60,39.44444444444444
263,128,103,69,63,38.333333333333336
264,128,18,73,61,40.55555555555556
265,128,96,71,67,39.44444444444444
